Finnish,English,kappale
"tehdään (tehdä, 2)",let's make,8
pastasalaatti,pasta salad,8
lihapulla,a meatball,8
Tehdään vaan!,"Yes, let's do so!",8
leipoa (1),to bake,8
ihana,lovely,8
sitruunakakku,a lemon cake,8
juotava,a beverage,8
vieras,a guest,8
saapua (1),to arrive,8
katsella (3) + P,to watch,8
meistä,here: we think so,8
avara,spacious,8
Ahaa.,Ok.,8
G + ääressä,at/by something,8
aina,always,8
kotitehtävä,homework,8
Sama juttu!,Same here!,8
läppäri* = kannettava tietokone,a laptop,8
seisoa (1),to stand,8
G + vieressä,next to someone/something,8
keskustella (3),"to discuss, chat",8
salaatti,salad,8
Niin minustakin!,"I think so, too!",8
valkosipuli,garlic,8
chili,chilli,8
öljy,oil,8
siksi,that’s why,8
maistua (1) + lta/ltä,to taste,8
tulinen,"spicy, hot",8
kai,probably,8
liian,too,8
juuri (just*),just,8
sopiva,"suitable, appropriate, just right",8
näyttää (1) + lta/ltä,to look like someone/something,8
toivottavasti,hopefully,8
valmis,ready,8
Tulkaa ottamaan!,Come and have some!,8
kakku,a cake,8
ostoslista,a shopping list,8
pasta,pasta,8
kana,chicken,8
maissi,corn,8
oliivi,an olive,8
jauho,flour,8
sokeri,sugar,8
sitruuna,a lemon,8
luomu,organic,8
muna,an egg,8
voi,butter,8
olut,beer,8
vissy,mineral water,8
työpäivä,a work day,9
oy = osakeyhtiö,a limited company (ltd),9
hermostunut,nervous,9
pomo,a boss,9
yritys,a company,9
pääovi,a front/main door,9
kulkukortti,an access badge,9
toinen,second,9
toimisto,an office,9
No niin!,here: All right!,9
näyttää (1) + lle,to show someone,9
työpiste,a workstation,9
laittaa (1),"to put, place",9
takki,a jacket,9
tavara,"a thing, an item",9
avain,a key,9
koodilukko,a code lock,9
Hyvä juttu!,That’s great!,9
esitellä (3) + lle,to present to someone,9
tila,"a space, a facility",9
myöhemmin,later,9
tavata (4),to meet,9
tiimi,a team,9
työntekijä,an employee,9
henkilö,a person,9
kuulua (1) + S-MIHIN,"to belong to, be part of something",9
yhteensä,"in total, altogether",9
paitsi,except,9
palaveri,a meeting,9
kertoa (1) + sta/stä,to tell about something,9
kokous,a meeting,9
projekti,a project,9
Selvä.,Ok. / All right.,9
Jatketaan!,Let’s continue!,9
jatkaa + P,to continue something,9
it-osasto,IT department,9
it = informaatioteknologia,IT = information technology,9
kysyä (1) neuvoa + lta/ltä,to ask for advice from someone,9
jokin,some,9
ongelma,a problem,9
saada (2),to get,9
käyttäjätunnus,a username,9
salasana,a password,9
käytävä,"a hallway, a corridor",9
G + päässä,at the end of something,9
neuvotteluhuone,a meeting room,9
kahviautomaatti,a coffee machine,9
oma,own (belonging to; determiner),9
eväät (MON),a packed lunch,9
olla mukana,to have with,9
lounaspaikka,a lunch spot,9
tietää (1),to know,9
Oho!,Oh!,9
suoraan,straight,9
neukkari* = neuvotteluhuone,a meeting room,9
hakea (1),"to get, fetch",9
nopeasti,"fast, quickly",9
ok = okei,ok,9
